"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASVc388d006","Bacteria","Bacillota","Bacilli","Staphylococcales","Staphylococcaceae","Staphylococcus",NA
"ASVf5e5eeac",NA,NA,NA,NA,NA,NA,NA
"ASV18e22805","Bacteria",NA,NA,NA,NA,NA,NA
"ASV2e751a36","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Alcaligenaceae",NA,NA
"ASV4dadc8f7","Bacteria",NA,NA,NA,NA,NA,NA
"ASV210295aa",NA,NA,NA,NA,NA,NA,NA
"ASVc17d6d92",NA,NA,NA,NA,NA,NA,NA
"ASV67eadc51",NA,NA,NA,NA,NA,NA,NA
"ASV37042665",NA,NA,NA,NA,NA,NA,NA
"ASVde5ae31a","Bacteria","Pseudomonadota","Gammaproteobacteria","Enterobacterales",NA,NA,NA
"ASV70fb9d85",NA,NA,NA,NA,NA,NA,NA
"ASV37b7ba6c","Bacteria",NA,NA,NA,NA,NA,NA
"ASVca8f7a8b",NA,NA,NA,NA,NA,NA,NA
"ASV8b84029f","Bacteria",NA,NA,NA,NA,NA,NA
"ASV4b79856b","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Microbacteriaceae",NA,NA
"ASVbf87d3fe","Bacteria","Bacillota","Bacilli","Bacillales","Bacillaceae","Mesobacillus",NA
"ASVd6cd05e1",NA,NA,NA,NA,NA,NA,NA
"ASV3825296b","Bacteria",NA,NA,NA,NA,NA,NA
"ASV07f70ca4",NA,NA,NA,NA,NA,NA,NA
"ASV374fa2b0","Bacteria",NA,NA,NA,NA,NA,NA
"ASV8fe12e66","Bacteria",NA,NA,NA,NA,NA,NA
"ASVd21fc7c1",NA,NA,NA,NA,NA,NA,NA
"ASVefdb5078",NA,NA,NA,NA,NA,NA,NA
"ASVeee3c4f7","Bacteria",NA,NA,NA,NA,NA,NA
"ASV902f88d8","Bacteria",NA,NA,NA,NA,NA,NA
"ASVb2bafeba","Bacteria",NA,NA,NA,NA,NA,NA
"ASV46eaf85f","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Pedosphaerales","Pedosphaeraceae",NA,NA
"ASVb3755ff4","Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfovibrio","vulgaris"
"ASVd425b852","Bacteria","Pseudomonadota","Alphaproteobacteria","Micropepsales","Micropepsaceae",NA,NA
"ASV62f4054d","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter",NA
"ASVfe2c00d4","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Chitinophaga",NA
"ASVa5cedc7c","Bacteria","Actinomycetota","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"ASV6e9745b0","Bacteria","Gemmatimonadota","S0134 terrestrial group",NA,NA,NA,NA
"ASVfecf49eb","Bacteria","Gemmatimonadota","S0134 terrestrial group",NA,NA,NA,NA
"ASV5e7fcc34","Bacteria","Bacillota","Limnochordia","M55-D21",NA,NA,NA
"ASV12db81a6","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Xanthobacteraceae","Pseudolabrys",NA
"ASVad168959","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Comamonas","kerstersii"
"ASV6a30c6a0","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Pseudaminobacter",NA
"ASVcf2ce0ee","Bacteria","Planctomycetota","Phycisphaerae","Tepidisphaerales","CPla-3 termite group",NA,NA
"ASV5a577c08","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Opitutaceae","Opitutus",NA
"ASVcf1a0699","Bacteria","Pseudomonadota","Gammaproteobacteria","R7C24",NA,NA,NA
"ASV13a611bd","Bacteria","Bacillota","Negativicutes","Veillonellales-Selenomonadales",NA,NA,NA
"ASVe0634676","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Opitutaceae","Opitutus",NA
"ASV1a6f50bf","Bacteria","Bacteroidota","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter",NA
"ASV06f09685",NA,NA,NA,NA,NA,NA,NA
"ASV16e7e23b",NA,NA,NA,NA,NA,NA,NA
"ASV09a82047","Bacteria",NA,NA,NA,NA,NA,NA
"ASV7dc41e59","Bacteria","Actinomycetota","Actinobacteria","Micrococcales","Demequinaceae","Demequina",NA
"ASV65ddc580","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Weeksellaceae","Moheibacter",NA
"ASV9a96369f",NA,NA,NA,NA,NA,NA,NA
"ASVb37d37dc","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Opitutaceae","Opitutus",NA
"ASV5348db2c","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae","Tepidimonas",NA
"ASVb63e70b7","Bacteria","Pseudomonadota","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Caulobacter",NA
"ASV5354b551","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas",NA
"ASV7898b87e","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Burkholderiaceae","Lautropia",NA
"ASVd00b36e2","Bacteria","Verrucomicrobiota","Verrucomicrobiia","Opitutales","Opitutaceae","Opitutus",NA
"ASVbe55d3fc","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASVd5b23248","Bacteria","Bacillota","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","acidophilus"
"ASV2f21ca29","Bacteria","Pseudomonadota","Alphaproteobacteria","Hyphomicrobiales","Rhizobiaceae","Ciceribacter",NA
"ASVb871e1bb","Bacteria","Bacillota","Bacilli","Alicyclobacillales","Alicyclobacillaceae","Tumebacillus",NA
"ASV0ed317b7","Bacteria","Pseudomonadota","Gammaproteobacteria","Burkholderiales","Comamonadaceae",NA,NA
"ASV276379f5","Bacteria","Pseudomonadota","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhabdus",NA
"ASV76baec27",NA,NA,NA,NA,NA,NA,NA
"ASV13fd2546",NA,NA,NA,NA,NA,NA,NA
"ASVe9c6c0f8","Bacteria","Actinomycetota","Actinobacteria","Kitasatosporales","Streptomycetaceae","Streptomyces","puniciscabiei"
"ASV6453d76d","Bacteria","Pseudomonadota","Gammaproteobacteria","Pseudomonadales","Moraxellaceae","Acinetobacter","soli"
"ASV3bd599bd","Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae",NA,NA
"ASV0e8618c3",NA,NA,NA,NA,NA,NA,NA
"ASV43664bd4",NA,NA,NA,NA,NA,NA,NA
"ASVb80c14b4","Bacteria",NA,NA,NA,NA,NA,NA
"ASV97c9dce5",NA,NA,NA,NA,NA,NA,NA
"ASV52ba0862",NA,NA,NA,NA,NA,NA,NA
"ASV648b8ff1",NA,NA,NA,NA,NA,NA,NA
"ASV8276fa98","Bacteria",NA,NA,NA,NA,NA,NA
"ASVb798b135",NA,NA,NA,NA,NA,NA,NA
"ASV3a232b96",NA,NA,NA,NA,NA,NA,NA
